THSCODE;DESCRIPT;LANG
NUTRIENT;N_rings_mne;SV
MACROCMP;Makrokomponenter;SV
ENERGY;Energi;SV
PROTEIN;Protein;SV
TOTALFAT;Fett, totalt;SV
TOTALCAR;Kolhydrater, totalt;SV
ALCOHOL;Alkohol;SV
WATER;Vatten;SV
ASH;Aska;SV
DRYMATR;Torr_mne;SV
CARBOCMP;Kolhydrater, komponenter;SV
SUGAR;Sockerarter;SV
STARCH;St_rkelse;SV
FIBRE;Fiber;SV
POLYOL;Polyoler;SV
POLYSACC;Polysackarider;SV
OLIGSACC;Oligosackarider;SV
FAT;Fett;SV
FATACID;Fettsyror;SV
STEROL;Steroler;SV
PHOLIPID;Fosfolipider;SV
TRIGLYSE;Triglycerider;SV
MINERAL;Mineral_mnen;SV
MACROELM;Makroelement;SV
TRACEELM;SpÎrelement;SV
NITROCMP;Kv_vef_reningar;SV
NITROGEN;Kv_ve;SV
AMACID;Aminosyror;SV
VITAM;Vitaminer;SV
FSVITAM;Fettl_sliga vitaminer;SV
WSVITAM;Vattenl_sliga vitaminer;SV
ORGACID;Organiska syror;SV
MISC;Diverse;SV
NATINHCN;Naturliga ingredienser;SV
FLAVON;Flavonoider;SV
NITRATE;Nitrat;SV
OXAACID;Oxalsyra;SV
PHYACID;Fytinsyra;SV
PHYESTRO;Fyto_strogener;SV
TANNIN;Tannin;SV
INOSITOL;Inositol;SV
PURINE;Puriner;SV
BIOAMIN;Biogena aminer;SV
BIOTOXIN;Biotoxin;SV
ADDITIVE;Tillsatser;SV
CONT;Fr_mmande _mnen;SV
ORGCONT;Organiska kontaminanter;SV
PCB;PCB-f_reningar;SV
DIOXIN;Dioxiner;SV
INOCONT;Oorganiska kontaminanter;SV
HVYMETAL;Tungmetaller;SV
PESTICID;Pesticider;SV
OTHER;Andra komponenter;SV